"","id_sampl","FID","strata_id","psu_id","population","ADM3_FR","ADM3_PCODE","ADM3_REF","ADM3ALT1FR","ADM3ALT2FR","ADM2_FR","ADM2_PCODE","ADM1_FR","ADM1_PCODE","SumDist","proba","survey_buffer","POINT_X","POINT_Y","NEAR_FID","NEAR_DIST","NEAR_X","NEAR_Y","NEAR_featureNam","NEAR_pcode","Exclude","Include","Check Exclure","Visité (Oui/NON)","Jour visité","enquêtes faites","manque Enquètes?","Equipe","Responsable","Date enquête"
"444","id_45757",45756,"BF5201","ACF-247",39.4018933739,"Piéla","BF520106","Piela","NA","NA","Gnagna","BF5201","Est","BF52",281458.559622479,0.000139991810612368,4,-0.0875095493762,12.6355271213,"6019","2.5374713455599999E-2","-6.6666999999900001E-2","12.65","Doyama","BF5201060002",NA,NA,NA,NA,NA,NA,-4,4,"Alberto",2020-07-19
"445","id_47900",47899,"BF5201","ACT-234",604.162365066,"Piéla","BF520106","Piela","NA","NA","Gnagna","BF5201","Est","BF52",281458.559622479,0.00214654109605466,4,0.00832909146445,12.7382874133,"6361","9.6988107635100004E-3","1.6667000000000001E-2","12.733333","Goueli","BF5201060014",NA,NA,NA,NA,NA,NA,-4,4,"Alberto",2020-07-19
"446","id_42717",42716,"BF5201","ACF-265",244.984453099,"Bilanga","BF520101",NA,"NA","NA","Gnagna","BF5201","Est","BF52",281458.559622479,0.000870410384489988,4,-0.0875095493762,12.4932436401999,"5493","7.9430449252400007E-3","-8.3332999999900001E-2","12.5","Kolokouame","BF5201010034",NA,NA,NA,NA,NA,NA,-4,4,"Alberto",2020-07-19
"447","id_47559",47558,"BF5201","ACY-236",249.545324701,"Piéla","BF520106","Piela","NA","NA","Gnagna","BF5201","Est","BF52",281458.559622479,0.000886614800543696,4,0.0425571774718,12.7185258191,"6215","2.0695202917E-2","3.3333000000000002E-2","12.6999999999999","Kouloungou","BF5201060009",NA,NA,NA,NA,NA,NA,-4,4,"Alberto",2020-07-19
"448","id_22063",22062,"BF51","WO-357",118.649558914,"Bindé","BF510302","Binde","NA","NA","Zoundwéogo","BF5103","Centre-Sud","BF51",472953.295017596,0.000250869504798747,4,-1.0938152768,11.7620646382,"2779","7.9226246636700005E-3","-1.094444","11.754167000000001","Binde","BF5103020006",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"449","id_29485",29484,"BF51","VF-320",690.251292029,"Kombissiri","BF510105",NA,"NA","NA","Bazèga","BF5101","Centre-Sud","BF51",472953.295017596,0.00145944916612394,4,-1.33341187891,12.0584885576,"3621","6.1636558193899999E-3","-1.3394440000000001","12.0572219999999","Bouloumbouyaka","BF5101050070",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"450","id_9384",9383,"BF50","RS-433",1444.75442938,"Bieha","BF500301",NA,"NA","NA","Sissili","BF5003","Centre-Ouest","BF50",1015876.87494771,0.00142217473889674,4,-1.95636304347,11.16131216,"1788","8.3164074768800004E-3","-1.95","11.166667","Danfouna","BF5003010021",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"451","id_28046",28045,"BF51","WD-327",244.663652444,"Gaongo","BF510102",NA,"NA","NA","Bazèga","BF5101","Centre-Sud","BF51",472953.295017596,0.000517310387772851,4,-1.16911706615,12.0031560919999,"3372","5.8735434120199999E-3","-1.163889","12.005833000000001","Gaongo","BF5101020010",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"452","id_18151",18150,"BF51","WI-379",235.327134676,"Guiba","BF510305",NA,"NA","NA","Zoundwéogo","BF5103","Centre-Sud","BF51",472953.295017596,0.000497569500318726,4,-1.13488898039,11.5881626046,"2457","1.8851144532899999E-2","-1.1166670000000001","11.583333","Garanse","BF5103050004",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"453","id_31931",31930,"BF51","TY-309",131.054134187,"Saponé","BF510106","Sapone","NA","NA","Bazèga","BF5101","Centre-Sud","BF51",472953.295017596,0.000277097412297602,4,-1.55931724634,12.1414872549999,"4034","5.6975482563799999E-3","-1.5569440000000001","12.146667000000001","Gonse","BF5101060129",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
"454","id_21626",21625,"BF51","XB-359",875.040496987,"Bindé","BF510302","Binde","NA","NA","Zoundwéogo","BF5103","Centre-Sud","BF51",472953.295017596,0.00185016259788283,4,-1.00482225354,11.7502076812999,"2780","4.6297934412100001E-3","-1.0072220000000001","11.754167000000001","Kaibo","BF5103020007",NA,NA,NA,NA,NA,NA,-4,7,"Alberto",NA
