Auteur,Index,uuid,Date,Base,Enqueteur,Question,Probl.me,Anciennes.valeurs,Nouvelles.valeurs,ddsagr,Retour.Enquêteur,Retour.chargé,Action,Commentaire.RBB,Commentaire.CC,Commentaire.AO,Commentaire.GIS,dffgawesd
Elliott Messeiller,NA,c53e3eb7-c337-48c8-9e99-0bd0c6fd321a,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,a6b8e171-30cf-411e-9ac8-b615e6ee633c,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,ca75ec11-322a-4130-802b-d66488d1a564,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,f95dc251-eff1-4ed3-897c-e38fc2c02369,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,1a47d199-f788-467b-89d6-1aedc2a3d3e2,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,d12e4e3c-c6b9-4c45-93f7-21d9b9a3c8be,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,14f12477-8b20-4eec-8cb7-c75be9c1cf44,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,e860f123-8725-4f4f-8c61-1168ed54a429,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,6c61f04f-2c90-4e5f-9da4-32bf8427750f,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,cc48df3b-877c-482f-b66e-9704199946f5,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
