list_name,name,label,info_admin3,info_admin2,info_admin1,info_base
oui_non,oui,Oui,NA,NA,NA,NA
oui_non,non,Non,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
oui_non_na,oui,Oui,NA,NA,NA,NA
oui_non_na,non,Non,NA,NA,NA,NA
oui_non_na,non_applicable,Non pertinent / non applicable (le ménage ne pratique pas l'agriculture),NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
modalite,direct,Face à face,NA,NA,NA,NA
modalite,telephone,Telephone,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
situation_matrimoniale,marie_monogame,Marié - Monogame,NA,NA,NA,NA
situation_matrimoniale,marie_polygame,Marié - Polygame,NA,NA,NA,NA
situation_matrimoniale,marie_veuf,Veuf/veuve,NA,NA,NA,NA
situation_matrimoniale,encouple,"Concubinage (en couple, pas marie)",NA,NA,NA,NA
situation_matrimoniale,celibataire,Celibataire,NA,NA,NA,NA
situation_matrimoniale,divorce,Divorcé/e,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
chef_profession,agriculteur,Agriculteur,NA,NA,NA,NA
id_liste,704,704,NA,NA,NA,koudougou
id_liste,705,705,NA,NA,NA,koudougou
id_liste,706,706,NA,NA,NA,koudougou
id_liste,707,707,NA,NA,NA,koudougou
id_liste,708,708,NA,NA,NA,koudougou
id_liste,709,709,NA,NA,NA,koudougou
id_liste,710,710,NA,NA,NA,koudougou
id_liste,711,711,NA,NA,NA,koudougou
id_liste,712,712,NA,NA,NA,koudougou
id_liste,713,713,NA,NA,NA,koudougou
id_liste,714,714,NA,NA,NA,koudougou
id_liste,715,715,NA,NA,NA,koudougou
id_liste,801,801,NA,NA,NA,tenkodogo
id_liste,802,802,NA,NA,NA,tenkodogo
id_liste,803,803,NA,NA,NA,tenkodogo
id_liste,804,804,NA,NA,NA,tenkodogo
id_liste,805,805,NA,NA,NA,tenkodogo
id_liste,806,806,NA,NA,NA,tenkodogo
id_liste,807,807,NA,NA,NA,tenkodogo
id_liste,808,808,NA,NA,NA,tenkodogo
id_liste,809,809,NA,NA,NA,tenkodogo
id_liste,810,810,NA,NA,NA,tenkodogo
id_liste,811,811,NA,NA,NA,tenkodogo
id_liste,812,812,NA,NA,NA,tenkodogo
id_liste,813,813,NA,NA,NA,tenkodogo
id_liste,814,814,NA,NA,NA,tenkodogo
id_liste,815,815,NA,NA,NA,tenkodogo
NA,NA,NA,NA,NA,NA,NA
oui_non_nsp,oui,Oui,NA,NA,NA,NA
oui_non_nsp,non,Non,NA,NA,NA,NA
oui_non_nsp,nsp,Je ne sais pas / préfère ne pas répondre,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
WG,aucun_difficult,Non aucune difficulté,NA,NA,NA,NA
WG,quelque_difficult,Oui quelques difficultés,NA,NA,NA,NA
WG,beaucoup_difficult,Oui beaucoup de difficultés,NA,NA,NA,NA
WG,parvient_pas,N'y parvient par du tout,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
list_barriere,barriere_non,Aucune barrière,NA,NA,NA,NA
list_barriere,frais_scolaires,Ne peux pas assumer les frais de scolarité,NA,NA,NA,NA
list_barriere,hors_systeme,Les enfants ont été hors de l'école trop longtemps pour y retourner,NA,NA,NA,NA
list_barriere,pas_priorite,L'école n'est pas une priorité,NA,NA,NA,NA
list_barriere,type_enseignement,Nous ne sommes pas d'accord avec les enseignements de l'école,NA,NA,NA,NA
list_barriere,mariage_enfant,L'enfant s'est marié avant la fin du cycle scolaire,NA,NA,NA,NA
list_barriere,barriere_langue,L'enfant ne parle pas la langue d'enseignement,NA,NA,NA,NA
list_barriere,barriere_nomadisme,Le mode de vie nomade ne permet pas une fréquentation régulière,NA,NA,NA,NA
list_barriere,travail_maison,Les enfants doivent travailler à la maison (corvée),NA,NA,NA,NA
list_barriere,mendicite,Les enfants doivent mendier,NA,NA,NA,NA
list_barriere,travail_champ,Les enfants doivent travailler aux champs pendant la saison des plantations ou récoltes.,NA,NA,NA,NA
list_barriere,travail_hors_maison,Les enfants travaille en dehors de la maison,NA,NA,NA,NA
list_barriere,handicap,Le ou les enfants sont porteurs d'un handicap que l'école ne peut pas prendre en charge,NA,NA,NA,NA
list_barriere,non_fonctionnelle,L'école n'est pas fonctionnelle (destruction),NA,NA,NA,NA
list_barriere,ecole_loin,L'école se situe trop loin,NA,NA,NA,NA
list_barriere,classes_pleines,Les classes de l'école sont pleines et ne peuvent accueillir plus d'élèves,NA,NA,NA,NA
list_barriere,enseignement_faible,Le niveau de l'enseignement est trop faible,NA,NA,NA,NA
list_barriere,pas_latrine,L'école ne dispose pas de latrine adéquate (latrine non fonctionnelle ou pas de latrine du tout),NA,NA,NA,NA
list_barriere,pas_enseignants,Il n'y a pas suffisamment d'enseignants,NA,NA,NA,NA
list_barriere,insecurite_ecole,"L'insécurité, nos enfants risquent d'être enlevés",NA,NA,NA,NA
list_barriere,insecurite_trajet,L'insécurité sur le trajet de l'école,NA,NA,NA,NA
list_barriere,groupes_armes_ecole,"Des groupes armés occupent l'école (militaires, G)groupes armés non étatiques",NA,NA,NA,NA
list_barriere,gane_enfant,L'enfant a rejoint un groupe armé,NA,NA,NA,NA
list_barriere,autre,Autre,NA,NA,NA,NA
list_barriere,nsp,Je ne sais pas,NA,NA,NA,NA
list_barriere,prefere_pas,Je préfère ne pas répondre,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
base_liste,tenkodogo,Tenkodogo,NA,NA,NA,NA
base_liste,kaya,Kaya,NA,NA,NA,NA
base_liste,dori,Sahel,NA,NA,NA,NA
base_liste,dedougou,Dedougou,NA,NA,NA,NA
base_liste,koudougou,Koudougou,NA,NA,NA,NA
base_liste,bobo,Bobo-Dioulasso,NA,NA,NA,NA
base_liste,ouahigouya,Ouahigouya,NA,NA,NA,NA
base_liste,fada,Fada N'Gourma,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
liste_abri,pas_abri,Pas d'abris,NA,NA,NA,NA
liste_abri,fortune,Abris de fortune,NA,NA,NA,NA
liste_abri,urgence,Abri d'urgence (recu lors d'une distribution),NA,NA,NA,NA
liste_abri,non_destine_au_logement,"Constructions non destinées au logement (Hangars, dépôts, constructions auxiliaires des fermes, …)",NA,NA,NA,NA
liste_abri,communautaire,Bâtiments communautaires,NA,NA,NA,NA
liste_abri,construit,Logement/ Maison construite,NA,NA,NA,NA
liste_abri,inacheve,Bâtiment inachevé,NA,NA,NA,NA
liste_abri,autre,Autre (merci de préciser),NA,NA,NA,NA
liste_abri,nsp,Je ne sais pas / préfère ne pas répondre,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
liste_abri_com,ecole,École,NA,NA,NA,NA
liste_abri_com,autre_batiment,Autres bâtiments qui offrent des services publics de basse,NA,NA,NA,NA
liste_abri_com,batiment_religieux,Bâtiments religieux,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
liste_abri_reli,eglise_catho,Église catholique,NA,NA,NA,NA
liste_abri_reli,eglise_protes,Église protestante,NA,NA,NA,NA
liste_abri_reli,mosque,Mosquée,NA,NA,NA,NA
liste_abri_reli,autre,Autre,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
liste_logement,dur,En dur,NA,NA,NA,NA
liste_logement,banco,En banco,NA,NA,NA,NA
liste_logement,bois_planche,En bois/ en planche,NA,NA,NA,NA
liste_logement,paille,En paille,NA,NA,NA,NA
liste_situation,occupation,Occupation (Sans accord du propriétaire),NA,NA,NA,NA
liste_situation,pret,Logement prêtée,NA,NA,NA,NA
liste_situation,famille_accueil,Famille d'accueil (logement partagé),NA,NA,NA,NA
liste_situation,location,Location,NA,NA,NA,NA
liste_situation,proprietaire,Propriétaire,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
