list_name,name,label,info_base,info_admin1,info_admin2,info_admin3
oui_non,oui,Oui,,,,
oui_non,non,Non,,,,
oui_non_na,oui,Oui,,,,
oui_non_na,non,Non,,,,
oui_non_na,non_applicable,Non pertinent / non applicable (le ménage ne pratique pas l'agriculture),,,,
modalite,direct,Face à face,,,,
modalite,telephone,Telephone,,,,
situation_matrimoniale,marie_monogame,Marié - Monogame,,,,
situation_matrimoniale,marie_polygame,Marié - Polygame,,,,
situation_matrimoniale,marie_veuf,Veuf/veuve,,,,
situation_matrimoniale,encouple,"Concubinage (en couple, pas marie)",,,,
situation_matrimoniale,celibataire,Celibataire,,,,
situation_matrimoniale,divorce,Divorcé/e,,,,
chef_profession,agriculteur,Agriculteur,,,,
chef_profession,eleveur,Eleveur,,,,
chef_profession,pecheur_chasseur,Pêcheur / chasseur,,,,
chef_profession,fonctionnaire,Fonctionnaire (sauf professeur),,,,
chef_profession,professeur,Professeur / maître d'école,,,,
chef_profession,etudiant,Etudiant/Elève,,,,
chef_profession,chef,Chef communautaire,,,,
chef_profession,prive,Travailleur du secteur privé,,,,
chef_profession,commercant,Commerçant,,,,
chef_profession,transporteur,Transporteur,,,,
list_barriere,barriere_nomadisme,Le mode de vie nomade ne permet pas une fréquentation régulière,,,,
list_barriere,travail_maison,Les enfants doivent travailler à la maison (corvée),,,,
list_barriere,mendicite,Les enfants doivent mendier,,,,
list_barriere,travail_champ,Les enfants doivent travailler aux champs pendant la saison des plantations ou récoltes.,,,,
list_barriere,travail_hors_maison,Les enfants travaille en dehors de la maison,,,,
list_barriere,handicap,Le ou les enfants sont porteurs d'un handicap que l'école ne peut pas prendre en charge,,,,
list_barriere,non_fonctionnelle,L'école n'est pas fonctionnelle (destruction),,,,
list_barriere,ecole_loin,L'école se situe trop loin,,,,
list_barriere,classes_pleines,Les classes de l'école sont pleines et ne peuvent accueillir plus d'élèves,,,,
list_barriere,enseignement_faible,Le niveau de l'enseignement est trop faible,,,,
list_barriere,pas_latrine,L'école ne dispose pas de latrine adéquate (latrine non fonctionnelle ou pas de latrine du tout),,,,
list_barriere,pas_enseignants,Il n'y a pas suffisamment d'enseignants,,,,
list_barriere,insecurite_ecole,"L'insécurité, nos enfants risquent d'être enlevés",,,,
list_barriere,insecurite_trajet,L'insécurité sur le trajet de l'école,,,,
list_barriere,groupes_armes_ecole,"Des groupes armés occupent l'école (militaires, G)groupes armés non étatiques",,,,
list_barriere,gane_enfant,L'enfant a rejoint un groupe armé,,,,
list_barriere,autre,Autre,,,,
list_barriere,nsp,Je ne sais pas,,,,
list_barriere,prefere_pas,Je préfère ne pas répondre,,,,
base_liste,tenkodogo,Tenkodogo,,,,
base_liste,kaya,Kaya,,,,
base_liste,dori,Sahel,,,,
base_liste,dedougou,Dedougou,,,,
base_liste,koudougou,Koudougou,,,,
base_liste,bobo,Bobo-Dioulasso,,,,
base_liste,ouahigouya,Ouahigouya,,,,
base_liste,fada,Fada N'Gourma,,,,
liste_abri,pas_abri,Pas d'abris,,,,
liste_abri,fortune,Abris de fortune,,,,
liste_abri,urgence,Abri d'urgence (recu lors d'une distribution),,,,
liste_abri,non_destine_au_logement,"Constructions non destinées au logement (Hangars, dépôts, constructions auxiliaires des fermes, ?)",,,,
liste_abri,communautaire,Bâtiments communautaires,,,,
liste_abri,construit,Logement/ Maison construite,,,,
liste_abri,inacheve,Bâtiment inachevé,,,,
liste_abri,autre,Autre (merci de préciser),,,,
liste_abri,nsp,Je ne sais pas / préfère ne pas répondre,,,,
liste_abri_com,ecole,École,,,,
liste_abri_com,autre_batiment,Autres bâtiments qui offrent des services publics de basse,,,,
liste_abri_com,batiment_religieux,Bâtiments religieux,,,,
liste_abri_reli,eglise_catho,Église catholique,,,,
liste_abri_reli,eglise_protes,Église protestante,,,,
liste_abri_reli,mosque,Mosquée,,,,
liste_abri_reli,autre,Autre,,,,
liste_logement,dur,En dur,,,,
liste_logement,banco,En banco,,,,
liste_logement,bois_planche,En bois/ en planche,,,,
